ID,District,Neighborhood,NeighborhoodCityState,Latitude,Longitude,ViolentCrimes,CrimesPer1000,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
108,"NORTHERN","LEVINDALE","LEVINDALE Baltimore MD",39.353797,-76.665817,140,115,1218,180,1018,5,1,0,0,14,10,564,654,39,53,22,34,75,72,87,352,484,197,82,14,20,5,95,41,531,493,182,311,38,31,0,7
109,"NORTHWEST","LIBERTY SQUARE","LIBERTY SQUARE Baltimore MD",39.321656,-76.657876,153,199,770,9,740,1,2,0,9,9,3,323,447,41,42,15,35,74,88,91,214,170,174,52,14,25,5,97,41,405,371,83,288,34,16,3,15
110,"SOUTHEAST","LITTLE ITALY","LITTLE ITALY Baltimore MD",39.2845,-76.601556,115,200,576,494,21,0,21,0,21,19,50,300,276,27,6,2,1,51,169,91,134,95,105,72,17,12,1,21,3,393,322,172,150,71,33,16,22
111,"NORTHEAST","LOCH RAVEN","LOCH RAVEN Baltimore MD",39.388162,-76.569689,353,57,6163,505,5422,4,120,0,22,90,110,2557,3606,347,474,191,216,653,914,701,1647,1020,1401,614,184,125,53,662,322,2978,2838,1143,1695,140,62,23,55
112,"SOUTHERN","LOCUST POINT","LOCUST POINT Baltimore MD",39.268051,-76.591059,64,30,2138,2019,27,7,53,1,10,21,37,1081,1057,117,55,23,30,173,714,319,508,199,461,355,103,39,10,67,18,1292,1046,741,305,246,40,127,79
113,"NORTHERN","LOYOLA/NOTRE DAME","LOYOLANOTRE DAME Baltimore MD",39.34985,-76.617008,56,17,3208,2780,188,7,108,1,40,84,158,1195,2013,2,0,2,6,3132,32,3,22,9,13,11,4,1,0,1,0,15,15,13,2,0,0,0,0
114,"NORTHWEST","LUCILLE PARK","LUCILLE PARK Baltimore MD",39.340404,-76.676644,78,138,567,9,548,3,1,0,0,6,5,301,266,40,48,11,24,64,59,99,172,50,110,26,8,11,5,73,28,220,159,75,84,61,7,1,53
115,"EASTERN","MADISON EASTEND","MADISON EASTEND Baltimore MD",39.300753,-76.576998,289,116,2487,54,2371,10,6,0,15,31,53,1141,1346,271,297,112,152,293,316,294,555,197,599,151,54,66,27,382,200,916,746,312,434,170,73,6,91
116,"CENTRAL","MADISON PARK","MADISON PARK Baltimore MD",39.305717,-76.630441,361,169,2134,305,1730,8,31,2,9,49,38,986,1148,191,215,62,65,317,379,237,502,166,403,93,25,39,20,271,191,1316,1033,101,932,283,147,13,123
117,"NORTHEAST","MAYFIELD","MAYFIELD Baltimore MD",39.328406,-76.579165,48,56,861,638,166,1,17,0,3,36,24,404,457,59,43,25,27,63,96,126,328,94,224,172,66,10,3,42,18,375,354,319,35,21,2,9,10
118,"SOUTHEAST","MCELDERRY PARK","MCELDERRY PARK Baltimore MD",39.297436,-76.581332,730,181,4033,382,3238,33,48,0,190,142,473,1916,2117,411,524,202,230,533,615,522,790,206,877,229,107,109,43,539,325,1719,1172,341,831,547,187,52,308
119,"NORTHERN","MEDFIELD","MEDFIELD Baltimore MD",39.339812,-76.644159,143,52,2748,2074,337,7,216,0,48,66,113,1323,1425,141,158,77,58,251,671,425,669,298,634,419,149,50,28,165,84,1406,1327,787,540,79,39,17,23
120,"SOUTHEAST","MEDFORD","MEDFORD Baltimore MD",39.2788,-76.547378,76,54,1412,664,379,16,35,2,251,65,423,721,691,107,101,25,46,165,281,202,342,143,317,152,50,56,21,109,56,610,578,202,376,32,21,2,9
121,"NORTHERN","MID-GOVANS","MIDGOVANS Baltimore MD",39.359807,-76.608055,164,112,1465,135,1271,2,21,0,1,35,18,661,804,103,150,66,77,153,188,185,390,153,352,149,58,30,14,173,78,596,512,349,163,84,27,13,44
122,"CENTRAL","MID-TOWN BELVEDERE","MIDTOWN BELVEDERE Baltimore MD",39.304755,-76.616721,543,142,3830,2298,1001,17,329,0,39,146,178,1957,1873,66,45,9,15,655,1468,520,761,291,365,261,37,42,9,62,21,3005,2550,413,2137,455,263,31,161
123,"EASTERN","MIDDLE EAST","MIDDLE EAST Baltimore MD",39.298833,-76.587833,708,477,1484,54,1408,2,6,0,8,6,26,667,817,117,152,41,63,158,174,146,376,257,313,86,23,43,15,184,100,913,628,155,473,285,32,7,246
124,"WESTERN","MIDTOWN EDMONDSON","MIDTOWN EDMONDSON Baltimore MD",39.296043,-76.651379,218,131,1663,19,1623,1,1,0,5,14,7,807,856,102,174,56,88,206,199,179,474,185,382,99,26,50,12,233,94,1112,544,211,333,568,28,10,530
125,"EASTERN","MILTON-MONTFORD","MILTONMONTFORD Baltimore MD",39.300323,-76.584221,288,207,1391,21,1305,9,10,0,23,23,39,623,768,153,162,58,61,200,188,154,327,88,315,67,33,56,17,192,92,744,416,139,277,328,39,6,283
126,"WESTERN","MONDAWMIN","MONDAWMIN Baltimore MD",39.314226,-76.654266,656,187,3512,41,3374,13,13,2,14,55,51,1488,2024,180,256,115,136,902,370,314,786,453,643,178,51,92,27,373,160,1522,1145,478,667,377,79,11,287
127,"NORTHEAST","MONTEBELLO","MONTEBELLO Baltimore MD",39.322787,-76.5965,22,188,117,19,84,0,1,0,8,5,8,53,64,24,19,8,4,5,23,11,19,4,7,5,3,1,1,1,0,22,16,11,5,6,3,0,3
128,"NORTHEAST","MORAVIA-WALTHER","MORAVIAWALTHER Baltimore MD",39.339455,-76.564717,54,54,999,375,582,3,5,0,3,31,21,473,526,63,79,33,38,88,113,177,312,96,256,159,66,16,9,81,37,432,409,338,71,23,8,9,6
129,"NORTHEAST","MORGAN PARK","MORGAN PARK Baltimore MD",39.346774,-76.578855,9,35,256,3,243,0,0,0,0,10,1,113,143,11,15,7,8,17,23,27,76,72,69,45,6,3,1,21,5,121,114,100,14,7,2,0,5
130,"SOUTHWEST","MORRELL PARK","MORRELL PARK Baltimore MD",39.26755,-76.658598,763,181,4204,3208,586,26,132,9,114,129,217,2058,2146,277,349,162,124,393,685,543,1153,518,977,561,195,104,45,312,141,1832,1688,1127,561,144,27,30,87
131,"WESTERN","MOSHER","MOSHER Baltimore MD",39.297386,-76.662929,225,142,1589,15,1542,7,4,0,0,21,17,701,888,124,156,68,80,199,170,171,410,211,387,87,30,61,22,239,100,786,548,233,315,238,68,12,158
132,"SOUTHWEST","MOUNT HOLLY","MOUNT HOLLY Baltimore MD",39.312532,-76.678087,222,174,1279,21,1238,0,2,0,5,13,14,656,623,71,98,49,71,113,142,178,415,142,283,93,28,47,16,143,70,705,495,195,300,210,85,9,116
133,"CENTRAL","MOUNT VERNON","MOUNT VERNON Baltimore MD",39.299319,-76.613833,795,165,4818,2842,1257,12,458,3,67,179,229,2379,2439,71,38,14,24,1053,1740,521,670,687,424,291,46,35,14,98,38,3860,3352,241,3111,508,298,7,203
134,"NORTHERN","MOUNT WASHINGTON","MOUNT WASHINGTON Baltimore MD",39.36221,-76.661485,199,51,3878,2804,822,11,81,3,37,120,107,1760,2118,221,312,144,132,155,443,580,1253,638,1001,802,330,45,22,154,85,1721,1649,1298,351,72,17,27,28
135,"SOUTHERN","MOUNT WINANS","MOUNT WINANS Baltimore MD",39.261491,-76.644881,54,72,748,21,709,3,3,0,0,12,15,323,425,59,85,26,36,74,85,86,207,90,192,55,15,17,6,120,55,372,286,179,107,86,9,2,75
